pref_lookingfor,count
|48|56|75|78|80|53|49|55|57|68|70|72|74|76|,1
|48|47|60|78|53|67|,1
|77|80|74|55|49|53|,1
|55|58|60|65|81|69|72|75|76|78|80|,1
|56|64|65|,1
|5|6|9|13|17|27|29|31|32|33|44|46|,1
|56|60|64|65|81|80|,1
|53|47|56|72|74|,1
|55|72|50|80|,1
|48|47|56|57|61|63|67|68|69|70|73|74|76|77|50|78|80|,1
|54|67|81|68|75|80|,1
|48|53|49|47|65|67|68|70|79|,1
|14|17|31|,1
|75|55|67|70|,1
|47|63|50|78|80|,1
|14|15|20|28|29|,1
|67|70|48|,1
|77|75|63|74|53|47|49|48|80|78|69|,1
|48|53|47|55|56|64|65|72|74|76|77|78|80|,1
|48|53|55|56|47|73|78|80|74|72|68|,1
|48|53|62|63|67|68|71|80|,1
|48|47|56|58|69|70|74|77|78|80|,1
|48|56|67|81|70|74|,1
|55|48|57|68|70|74|50|80|78|77|81|47|56|,1
|48|49|53|55|57|63|66|67|77|50|80|,1
|48|47|67|68|70|74|75|77|50|80|,1
|58|63|67|76|77|,1
|74|67|77|80|50|56|47|,1
|80|48|56|47|63|68|67|50|,1
|48|55|56|68|75|77|50|79|,1
|48|47|56|58|60|66|80|50|76|70|67|53|,1
|49|47|55|67|72|74|76|77|56|75|57|53|48|69|80|,1
|72|70|63|77|56|57|59|58|47|54|49|55|74|50|,1
|53|47|48|56|70|74|80|55|63|67|,1
|48|49|55|59|67|72|74|50|78|77|73|69|81|60|58|56|47|53|,1
|48|56|77|80|53|55|63|67|76|50|,1
|53|80|,1
|56|62|81|68|80|,1
|48|73|61|67|72|74|,1
|49|47|56|58|59|78|79|,1
|9|21|28|29|33|34|36|37|38|42|,1
|48|55|56|61|67|70|74|76|80|,1
|48|67|69|70|75|76|77|80|,1
|48|56|55|62|67|81|68|70|74|76|80|,1
|55|56|63|64|67|81|69|71|72|75|77|50|80|,1
|48|49|47|55|58|59|60|63|67|70|72|73|74|75|76|77|50|78|,1
|53|66|67|74|76|80|,1
|53|56|63|81|68|76|77|50|80|,1
|80|70|75|56|74|,1
|48|47|56|58|63|67|70|72|74|76|77|50|78|,1
|48|54|47|55|56|57|61|63|67|81|68|70|73|74|76|77|78|80|,1
|20|21|29|33|34|38|,1
|80|55|,1
|80|72|67|56|,1
|48|47|56|67|73|74|77|50|80|,1
|48|53|55|63|68|70|76|80|,1
|54|69|67|68|70|79|,1
|48|56|63|67|68|70|,1
|48|67|69|80|,1
|49|47|55|56|57|62|63|65|67|81|76|78|74|68|,1
|48|47|56|60|64|81|80|76|68|67|63|55|49|,1
|48|67|68|70|74|80|,1
|48|47|55|56|57|58|63|67|68|71|74|77|50|80|,1
|48|53|55|58|75|78|72|70|69|63|56|47|67|,1
|48|53|47|55|56|58|59|81|72|74|77|50|78|80|,1
|48|47|55|56|67|81|68|70|76|78|80|,1
|77|67|50|53|80|76|74|69|,1
|48|53|49|47|57|70|80|,1
|48|47|69|74|77|,1
|78|67|65|63|69|,1
|48|47|56|68|70|75|76|80|,1
|48|56|64|71|75|77|,1
|79|50|76|67|,1
|48|47|55|56|63|67|76|50|80|,1
|70|80|48|67|,1
|48|56|67|68|74|,1
|56|50|74|70|77|63|,1
|67|81|68|69|80|,1
|56|47|48|78|,1
|48|81|80|74|72|50|77|,1
|48|67|68|72|74|75|50|80|,1
|56|61|68|70|74|,1
|80|67|74|,1
|80|67|48|,1
|48|56|58|63|67|81|74|,1
|3|5|11|13|14|28|32|36|41|44|47|48|49|,1
|63|67|81|68|69|70|75|79|,1
|48|55|56|81|70|74|80|,1
|48|47|55|70|74|,1
|78|67|48|56|,1
|7|14|15|21|27|28|29|33|34|42|43|47|50|,1
|48|53|49|47|56|57|58|61|66|70|74|77|50|78|,1
|48|56|66|74|75|79|,1
|48|54|47|55|57|58|63|70|75|77|80|,1
|48|47|56|58|59|60|73|74|76|80|,1
|48|57|61|65|70|68|67|76|74|50|78|81|47|53|,1
|48|47|56|57|58|63|67|72|74|78|,1
|53|55|56|57|70|74|75|77|50|79|,1
|63|65|69|67|,1
|9|20|21|27|29|30|31|32|33|34|36|38|42|47|48|49|,1
|48|56|75|74|67|55|,1
|75|67|74|80|77|69|56|48|,1
|48|49|47|55|57|60|81|77|78|80|,1
|7|8|9|10|11|12|14|20|29|30|33|34|35|36|37|38|39|41|42|43|44|48|50|51|,1
|48|53|56|57|58|62|64|81|69|70|71|75|77|50|80|,1
|48|81|73|78|80|68|47|,1
|47|55|56|63|64|67|70|74|76|,1
|48|55|57|63|81|68|70|50|80|,1
|61|66|69|74|76|50|,1
|56|61|70|69|67|50|,1
|48|49|47|56|63|77|50|80|,1
|47|55|61|63|69|72|73|76|78|,1
|49|74|80|77|69|62|56|47|,1
|48|53|49|47|55|56|57|58|59|61|64|66|81|68|69|70|72|73|75|77|50|78|,1
|56|81|68|69|70|50|,1
|48|75|80|65|63|74|,1
|56|72|74|77|78|,1
|47|55|56|57|61|73|74|76|77|50|78|80|,1
|48|47|60|56|62|77|80|50|74|72|67|49|,1
|49|47|56|57|58|74|77|50|78|80|,1
|77|56|57|74|,1
|48|68|70|74|,1
|67|70|80|,1
|48|68|72|,1
|56|67|74|76|,1
|48|47|56|81|80|74|76|70|68|67|55|,1
|48|56|81|53|74|80|50|63|68|,1
|48|49|47|56|58|68|75|80|,1
|48|70|74|,1
|61|63|66|67|69|74|75|76|50|80|,1
